6022|TMP|Entry Fee|入场费：2倍
6023|TMP|Description|开罗附近的石头样本。当心诅咒。
6024|TMP|Art|艺术与内容：Bearologist
6025|TMP|Level|文物等级 5
6026|TMP|Visitor Count|访客：10/分钟
6027|TMP|Collection Value|文物：$0
6028|TMP|Text (TMP)|关闭
6029|TMP|Text (TMP)|13
6030|TMP|Count Found|已发现36件
6031|TMP|Income|收入：$10/分钟
6032|TMP|Description|在一具古老石棺的背面发现的匕首。
6033|TMP|Code|代码与游戏：Inki
6034|TMP|Text (TMP) (1)|0 / 250
6035|TMP|Name|匕首
6036|TMP|Title|收入表
6037|TMP|XP|5/10 件
6038|TMP|Text (TMP)|进度
6039|TMP|Thank you for Playing!|感谢游玩！
6040|TMP|Money|$1
6041|TMP|Group|罗马时代
6042|TMP|Income|估价 $280
6043|TMP|Title|每小时明细
6044|TMP|Text (TMP)|继续
6045|TMP|Museum|大热博物馆
6046|TMP|Max|MAX
6047|TMP|Locked Text|'需要
6048|TMP|Description|按住鼠标持续锤击
6049|TMP|Window Mode|窗口模式
6050|TMP|Text (TMP)|1920 x 1080
6051|TMP|Max|MAX
6052|TMP|Name|未知
6053|TMP|Description|按住鼠标持续锤击
6054|TMP|Name|自动锤击 1/10
6055|TMP|Name|未知
6056|TMP|Confirmation Option (1)|否
6057|TMP|Price|$100
6058|TMP|Name|自动锤击 1/10
6059|TMP|Description|按住鼠标持续锤击
6060|TMP|Music|音乐
6061|TMP|Description|按住鼠标持续锤击
6062|TMP|Title|大热博物馆
6063|TMP|Camera Feed|相机 1
6064|TMP|Name|未知
6065|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6066|TMP|Text (TMP)|历史准确
6067|TMP|XP|5/10 件
6068|TMP|Name|自动锤击 1/10
6069|TMP|Text (TMP)|>
6070|TMP|Text (TMP) (2)|新文本
6071|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6072|TMP|Max|MAX
6073|TMP|Max|MAX
6074|TMP|Price|$2147483640
6075|TMP|Name|未知
6076|TMP|Graphics|图形
6077|TMP|Name|自动锤击 1/10
6078|TMP|Vsync|垂直同步
6079|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6080|TMP|XP|5/8 件文物
6081|TMP|XP|5/8 件文物
6082|TMP|XP|5/8 件文物
6083|TMP|XP|5/8 件文物
6084|TMP|XP|5/8 件文物
6085|TMP|XP|5/8 件文物
6086|TMP|XP|5/8 件文物
6087|TMP|XP|5/8 件文物
6088|TMP|Text (TMP)|>
6089|TMP|Description|按住鼠标持续锤击
6090|TMP|Name|自动锤击 1/10
6091|TMP|Name|未知
6092|TMP|Description|按住鼠标持续锤击
6093|TMP|Name|自动锤击 1/10
6094|TMP|Ticket Count|23 票
6095|TMP|Name|自动锤击 1/10
6096|TMP|Name|未知
6097|TMP|Stone Complete|石头完成！
6098|TMP|Description|按住鼠标持续锤击
6099|TMP|Name|未知
6100|TMP|Description|按住鼠标持续锤击
6101|TMP|Description|按住鼠标持续锤击
6102|TMP|Description|按住鼠标持续锤击
6103|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6104|TMP|Name|自动锤击 1/10
6105|TMP|Render Scale|渲染比例
6106|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6107|TMP|Max|MAX
6108|TMP|Text (TMP)|>
6109|TMP|Name|自动锤击 1/10
6110|TMP|Max|MAX
6111|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6112|TMP|Locked Text|'需要
6113|TMP|Text (TMP)|继续
6114|TMP|Locked Text|'需要
6115|TMP|Text (TMP)|>
6116|TMP|Name|未知
6117|TMP|Name|自动锤击 1/10
6118|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6119|TMP|Max|MAX
6120|TMP|Max|MAX
6121|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6122|TMP|Description|按住鼠标持续锤击
6123|TMP|Name|遮罩
6124|TMP|Locked Text|'需要
6125|TMP|Name|未知
6126|TMP|Description|按住鼠标持续锤击
6127|TMP|Locked Text|'需要
6128|TMP|Level|收藏等级 4
6129|TMP|Text (TMP)|>
6130|TMP|Description|按住鼠标持续锤击
6131|TMP|Price|$100
6132|TMP|Max|MAX
6133|TMP|Title|升级
6134|TMP|Name|自动锤击 1/10
6135|TMP|Locked Text|'需要
6136|TMP|Max|MAX
6137|TMP|Text (TMP)|>
6138|TMP|Price|$100
6139|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6140|TMP|Text (TMP) (1)|'声望
6141|TMP|Description|按住鼠标持续锤击
6142|TMP|Max|MAX
6143|TMP|Name|完美石头
6144|TMP|Description|按住鼠标持续锤击
6145|TMP|Name|自动锤击 1/10
6146|TMP|Description|按住鼠标持续锤击
6147|TMP|Name|未知
6148|TMP|Text (TMP)|>
6149|TMP|Max|MAX
6150|TMP|Name|自动锤击 1/10
6151|TMP|Name|自动锤击 1/10
6152|TMP|Name|自动锤击 1/10
6153|TMP|Name|自动锤击 1/10
6154|TMP|Name|自动锤击 1/10
6155|TMP|Name|未知
6156|TMP|Description|按住鼠标持续锤击
6157|TMP|Name|自动锤击 1/10
6158|TMP|Description|按住鼠标持续锤击
6159|TMP|SFX|音效
6160|TMP|Description|按住鼠标持续锤击
6161|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6162|TMP|Frame Limit|帧数限制
6163|TMP|Text (TMP)|设置
6164|TMP|Description|开罗附近的石头样本。当心诅咒。
6165|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6166|TMP|Name|自动锤击 1/10
6167|TMP|Shadows|阴影
6168|TMP|Name|自动锤击 1/10
6169|TMP|Text (TMP)|95%
6170|TMP|Title|声望
6171|TMP|Description|按住鼠标持续锤击
6172|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6173|TMP|Back|返回
6174|TMP|Max|MAX
6175|TMP|Text (TMP)|<
6176|TMP|Value|估价 $123
6177|TMP|Buy Price|用 <b><size=10>5</size></b> 票购买
6178|TMP|Description|按住鼠标持续锤击
6179|TMP|Name|伤害等级 1
6180|TMP|Name|未知
6181|TMP|Max|MAX
6182|TMP|Description|按住鼠标持续锤击
